Unnamed: 0,User,CREATED_AT,LABEL,STEMMING WORDS,LIKE COUNT,FOLLOWERS COUNT,RETWEET COUNT
1,1.43633E+18,9/10/2021 13:53,Sport,ශ්රී ලංකා හා දකුණු අප්රිකාව අතර අද පැවැත්වී නියමිත පළමු පන්දුවාර යි ක්රිකට් තරඟ ක්රීඩා කිරීමේ අවස්ථාව කුසල් ජනිත පෙරේරාට අහිමි වී ඇති බව වාර්තා වනවා ඒ අනුව මෙම තරඟ දී ද අවිශ්ක ප්රනාන්ද සමගි දිනේෂ චන්දිමාල් ආරම්භක පිතිකරුවෙකු,0,116,0
2,1.43632E+18,9/10/2021 13:09,Sport,අද තරඟ ක්රීඩා කරන කන්ඩායම දෙක චන්දි ඉන්,3,1344,0
3,1.43618E+18,9/10/2021 4:11,Sport,ක්රීඩාවෙන් ජාත්යන්තර ජයගත් ඔබේ කතාව අනාගත පරම්පරා ආදර්ශය විය යුතුයි තරුණ හා ක්රීඩා අමාත්ය නාමල් ක් රීඩාවෙන්ජාත් යන්තරයජයගත්ඔබේකතාවඅනාගතපරම්පරාවටආදර්ශයක්වියයුතුයිතරුණහාක් රීඩාඅමාත් යනාමල්රාජපක්ෂ,0,373,0
4,1.43614E+18,9/10/2021 1:30,Sport,ඒසේනම් ප්රිය ක්රීඩා ලෝලී හිතවතුනි අද තමා දවස,5,88,0
5,1.43604E+18,9/9/2021 18:43,Sport,වත්මන ශ්රී ලංකා කණ්ඩායමට ලොකු ගමනක යා හැකි බව ක්රීඩකයන් ඉතා හොද අවබෝධය ක්රීඩා කරන බව ශ්රී ලංකා එක්දින හා විස්සයි නායක දසුන් ශානක පැවසීය ශ්රී ලංකා දකුණු අප්රිකා එක්දින ක්රිකට් තරගාවලිය අවසන් වීමෙන් පසු දා රාත්රියේ පැවති මාධ්ය,7,7425,0
6,1.43593E+18,9/9/2021 11:52,Sport,විනාඩි න් ට දාන ක්රීඩා මාධ්යවේදියෝ නම් සාපයක්,12,3589,0
7,1.43589E+18,9/9/2021 9:13,Sport,ප්රිය ක්රීඩා ලෝලී හිතවතුනි හෙට තමා දවස,16,88,3
8,1.43584E+18,9/9/2021 5:21,Sport,පැරා ක්රීඩා පුහුණුවට වෙනම ක්රීඩා සංකීර්ණයක්,0,57,1
10,1.43583E+18,9/9/2021 5:13,Sport,පැරා ක්රීඩා පුහුණුවට වෙනම ක්රීඩා සංකීර්ණයක් අඛණ්ඩ වැඩ පිළිවෙළ ඇමැති අනුග්රහය,1,1046,0
11,1.43582E+18,9/9/2021 4:32,Sport,පළමු විස්සයි විස්ස තරඟ ක්රීඩා කරන ශ්රී ලංකා කණ්ඩාය,27,22524,4
13,1.43576E+18,9/9/2021 0:21,Sport,ක්රීඩාවෙන් ජාත්යන්තර ජයගත් ඔබේ කතාව අනාගත පරම්පරා ආදර්ශය විය යුතුයි තරුණ හා ක්රීඩා,1,23346,0
14,1.43561E+18,9/8/2021 14:07,Sport,ඕකුන්ගෙ ක්රීඩා පුවත් හදන එකාට සම්මානය දෙන්න ඕනෙ හැබැයි ඉතිං උන් දුන්නුවා හොඳ කළා,0,1700,0
15,1.4356E+18,9/8/2021 13:45,Sport,ජාතික ක්රීඩා උළෙලේ සත්කාරය පළාත් වෙතින ලංසු කැඳවයි,0,12,0
16,1.43559E+18,9/8/2021 13:20,Sport,ක්රීඩා සංකීර්ණ ක් ජාතික සංගම් වලට,0,12,0
17,1.43554E+18,9/8/2021 9:41,Sport,පාසල් පොත් ඩිජිටල් තාක්ෂණ පරිවර්තන කරන බව තරුණ හා ක්රීඩා සංවර්ධන සම්බන්ධීකරණ හා අධීක්ෂණ ඇමැති සහ ඩිජිටල් තාක්ෂණ හා ව්යවසාය සංවර්ධන රාජ්ය ඇමැති නාමල් රාජපක්ෂ ඊයේ වැනිදා පාර්ලිමේන්තුවේදී පැවැසුවේය,0,116,0
18,1.43552E+18,9/8/2021 8:14,Sport,ඉතාලි ක්රිකට් කණ්ඩායමට ඔබේ දේශීය තරගාවලියට ක්රීඩා කිරීමට අවස්ථාව ලබා දිය හැකිද,2,20419,0
19,1.43551E+18,9/8/2021 8:01,Sport,මේ තියෙන්න ඒ එක ළමා මනස විකෘති කරන්න වීඩියෝ ක්රීඩා වලට පුළුවන් ද,2,533,0
20,1.4355E+18,9/8/2021 7:20,Sport,තම කණ්ඩාය සමග එක්ව සිටින තරුණ ක්රීඩකයින්ට නිදහසේ ක්රීඩා කිරීමට අවශ්ය පරිසරය සලසා දීම හේතුවෙ ඔවුන් දක්ෂ ලෙස ක්රීඩා කරන බව ශ්රී ලංකා එක්දින සහ යි ක්රිකට් නායක දසුන් ශානක පවසනව ඔහු මේ බවසඳහන් කලේ දකුණු අප්රිකාව සමග පැවති එක්දින ක්රිකට්,0,116,0
22,1.43544E+18,9/8/2021 2:58,Sport,නැවත පාසල් ආරම්භ කිරීමෙන් පසු ගුරුවරු පහත සදහන් අමතර රාජකාරි වලින් බැහැර වෙමු ආරක්ෂකයෙකු නොවන බැවින් ක්රීඩා නැටුම් චිත්ර සංගීත තරග සදහා සිසුන් රැගෙන නොයමි ඒ සදහා දරුවන් දෙමව්පිය විසින්ම රැගෙන එන ලෙස ඉල්ලමි,0,399,0
23,1.43544E+18,9/8/2021 2:55,Sport,නැවත පාසල් ආරම්භ කිරීමෙන් පසු ගුරුවරු පහත සදහන් අමතර රාජකාරි වලින් බැහැර වෙමු ක්රීඩා පුහුණුකරුවෙකු නොවන බැවින් පසු ක්රීඩා පුහුණු කටයුතු නොකරමි සම්මන්ත්රණ වැඩ මුලු සදුදා සිට සිකුරාදා දිනවල දක්වා පමණක සහභාගි වෙමි,0,399,0
24,1.43541E+18,9/8/2021 1:20,Sport,මා ප්රිය ක්රීඩා ලෝලී මිතුරු මිතුරියනි ඔබට ජයග්රහී උදෑසනක් වේවා,2,202,0
25,1.4354E+18,9/8/2021 0:48,Sport,පරාක්රම සමුද්රය වැව් බැම් මත ඇවිදින මංතීරු හදන ව්යාපෘතිය නැවැත්තුවා ක්රීඩා ඇමැති,0,1834,0
26,1.43529E+18,9/7/2021 17:29,Sport,චරිත් කමිදු පාසල් කාලෙ හිටපු ක්රීඩා භාර ආචාර් තුමා,158,4655,8
27,1.43529E+18,9/7/2021 17:09,Sport,මං හිතුවෙ නාමල් බර ගනන් වල ඉදලා ක්රීඩා ඇමති කියල එතකොට ක්රීඩා ඇමති වෙලා හිටියෙ ගීතා අක්කද,0,10849,0
28,1.43529E+18,9/7/2021 17:03,Politics,මේ වන විට ශ්රී ලංකා ක්රීඩා ලෝලීන් අභ්යවකාශ ගත වන බව පිරිසක් සද මතත් තවත් පිරිසක් අගහරු ජය ගෙන ඇති බව එලෝන් මස්ක් පවා මවිතය පත් වී ඇති බව විදෙස් මාධ්ය වාර්තා කරයි මෙවැනි ජයග්රහණයක් ලැබීම නිසා මෙය ඉතාම සාමාන් තත්ත්වයක් බව ඔවුන් තවදුරටත් වාර්තා කරන්නේ,19,140,3
29,1.43528E+18,9/7/2021 16:39,Sport,වෙල් ප්ලේයිඩ් ක්රීඩා අමාත්ය තුමනි,8,2150,0
30,1.43528E+18,9/7/2021 16:23,Sport,නාමල් සර් ක්රීඩා ඇමති උනා විතරයි ලංකාවේ ක්රීඩාවට වසන්තය ආවා හිතන්නකෝ රටේ ජනාධිපති උනාම දි රටට කිරි උතුරයි නේද යාලුවනේ,2,91,0
31,1.43527E+18,9/7/2021 15:49,Sport,ප්රිය ක්රීඩා ලෝලී මිතුර මිතුරියනි දැන් කෝමතේ,13,3802,0
32,1.43522E+18,9/7/2021 12:28,Sport,ප්රිය ක්රීඩා ලෝලී මිතුර මිතුරියනි ඩාම් වෙනවා ඩූම් වෙනවා ඉතින් දන්නැද්ද,37,3802,2
33,1.43516E+18,9/7/2021 8:30,Sport,ආන්දෝලනය තුඩු දුන් පරාක්රම සමුද්රය වැව් බැම් මතින් ඉදිකරමින් තිබූ ඇවිදින ව්යායාම මන්තීරු කටයුතු මේ වන විට තාවකාලික නතර කර ඇති බව ක්රීඩා අමාත්ය නාමල් රාජපක්ෂ මහතා ප්රකාශ කළා ඒ සමගි ජනබලවේගයේ පාර්ලිමේන්තු මන්ත්රී බුද්ධික පතිරණ මහතා අද,1,116,0
